"","ID","trial","phase","start_dist","min_dist","end_dist","stimuli_passed","last_stimulus"
"85","deb01",35,"transition",483,5.8309518948453,5.8309518948453,"52;53;54",54
"86","deb01",36,"transition",344,9.05538513813742,9.05538513813742,"53;54",54
"87","deb01",37,"transition",564,308.001623372345,308.001623372345,"51;52",52
"88","deb01",38,"transition",421.001187646781,11.1803398874989,11.1803398874989,"52;53;54",54
"89","deb01",39,"transition",428,9.05538513813742,9.05538513813742,"52;53;54",54
"90","deb01",40,"transition",678,324.006172780705,324.006172780705,"50;51;52",52
"91","deb01",1,"test",342,11.1803398874989,11.1803398874989,"63;64",64
"92","deb01",2,"test",678.000737462726,148,148,"60;61;62;63",63
"93","deb01",3,"test",414,22.3606797749979,22.3606797749979,"62;63;64",64
"94","deb01",4,"test",437.001144163262,15.0332963783729,15.0332963783729,"62;63;64",64
"95","deb01",5,"test",489.001022493819,20.0249843945008,20.0249843945008,"62;63;64",64
"96","deb01",6,"test",669,134.014924542008,134.014924542008,"60;61;62;63",63
"97","deb01",7,"test",570.000877192307,439.001138950687,439.001138950687,"61",61
"98","deb01",8,"test",426,9.05538513813742,9.05538513813742,"62;63;64",64
"99","deb01",9,"test",367,1,132,"63;64",64
"100","deb01",10,"test",357,5.09901951359278,5.09901951359278,"63;64",64
"101","deb01",11,"test",487,16.1245154965971,16.1245154965971,"62;63;64",64
"102","deb01",12,"test",553.000904158393,6.08276253029822,6.08276253029822,"61;62;63;64",64
"103","deb01",13,"test",349,17.0293863659264,17.0293863659264,"63;64",64
"104","deb01",14,"test",488.001024589088,7.07106781186548,7.07106781186548,"62;63;64",64
"105","deb01",15,"test",350.001428568513,13.0384048104053,13.0384048104053,"63;64",64
"106","deb01",16,"test",418,14.142135623731,14.142135623731,"62;63;64",64
"107","deb01",17,"test",434,4.47213595499958,4.47213595499958,"62;63;64",64
"108","deb01",18,"test",351,14.142135623731,14.142135623731,"63;64",64
"109","deb01",19,"test",571,2.23606797749979,2.23606797749979,"61;62;63;64",64
"110","deb01",20,"test",428,2,11.4017542509914,"62;63;64",64
"111","deb01",21,"test",668,18.0277563773199,18.0277563773199,"60;61;62;63;64",64
"112","deb01",22,"test",546,5,5,"61;62;63;64",64
"113","deb01",23,"test",343.00145772285,9.05538513813742,9.05538513813742,"63;64",64
"114","deb01",24,"test",565,0,5,"61;62;63;64",64
"115","deb01",25,"test",336.001488091943,0,7,"63;64",64
"116","deb01",26,"test",490.001020407101,1,25.0199920063936,"62;63;64",64
"117","deb01",27,"test",430.001162789125,1,4.12310562561766,"62;63;64",64
"118","deb01",28,"test",476.001050419009,14,14,"62;63;64",64
"119","deb01",29,"test",430,1,9.05538513813742,"62;63;64",64
"120","deb01",30,"test",566,10,10,"61;62;63;64",64
